Project_ID,Year,CO2_Reduction_Tons
P000001,2020,653
P000002,2018,4844
P000003,2022,4328
P000004,2021,2968
P000005,2018,4464
P000006,2022,1289
P000007,2020,1644
P000008,2018,2025
P000009,2024,4612
P000010,2022,4322
P000011,2024,3249
P000012,2020,4737
P000013,2023,4306
P000014,2018,4369
P000015,2022,3380
P000016,2024,3072
P000017,2023,265
P000018,2024,2893
P000019,2018,1304
P000020,2024,4112
P000021,2019,3099
P000022,2024,1290
P000023,2023,4197
P000024,2022,3586
P000025,2019,696
P000026,2020,1901
P000027,2020,4332
P000028,2021,1609
P000029,2018,1665
P000030,2020,2388
P000031,2020,1832
P000032,2021,3974
P000033,2021,3035
P000034,2022,3800
P000035,2019,230
P000036,2021,2055
P000037,2019,3328
P000038,2019,352
P000039,2019,3257
P000040,2024,2575
P000041,2020,1417
P000042,2020,2846
P000043,2023,4885
P000044,2024,4202
P000045,2019,772
P000046,2019,1711
P000047,2020,2985
P000048,2022,1704
P000049,2021,1248
P000050,2018,1661
P000051,2019,384
P000052,2022,4686
P000053,2019,143
P000054,2023,1244
P000055,2024,1866
P000056,2021,4728
P000057,2022,941
P000058,2024,2097
P000059,2018,3675
P000060,2024,1207
P000061,2021,2490
P000062,2018,1263
P000063,2022,2977
P000064,2021,1419
P000065,2019,2369
P000066,2020,1086
P000067,2018,1702
P000068,2022,1210
P000069,2024,1176
P000070,2021,4227
P000071,2023,4896
P000072,2023,2789
P000073,2020,1363
P000074,2023,3768
P000075,2021,3939
P000076,2023,3368
P000077,2022,2026
P000078,2019,774
P000079,2023,1403
P000080,2021,1542
P000081,2019,286
P000082,2021,2409
P000083,2022,2192
P000084,2024,2322
P000085,2018,4924
P000086,2020,2429
P000087,2020,4952
P000088,2023,4500
P000089,2022,1246
P000090,2024,1963
P000091,2023,4841
P000092,2018,76
P000093,2024,3608
P000094,2024,4254
P000095,2023,2658
P000096,2023,854
P000097,2023,2557
P000098,2018,2767
P000099,2019,4434
P000100,2022,1806
P000101,2024,3628
P000102,2019,2603
P000103,2019,3154
P000104,2020,1030
P000105,2020,100
P000106,2021,2639
P000107,2024,4081
P000108,2020,253
P000109,2018,3695
P000110,2020,4565
P000111,2023,2092
P000112,2020,2509
P000113,2020,3998
P000114,2018,2211
P000115,2020,513
P000116,2021,1631
P000117,2024,1776
P000118,2021,430
P000119,2020,1082
P000120,2021,1941
P000121,2024,2405
P000122,2020,2635
P000123,2021,3516
P000124,2021,2567
P000125,2021,3091
P000126,2022,417
P000127,2023,1676
P000128,2021,150
P000129,2020,3935
P000130,2019,622
P000131,2019,1935
P000132,2020,1807
P000133,2020,3878
P000134,2024,3664
P000135,2023,1079
P000136,2022,4057
P000137,2022,3427
P000138,2021,1596
P000139,2019,436
P000140,2021,1735
P000141,2018,2525
P000142,2020,978
P000143,2020,160
P000144,2024,4291
P000145,2023,1723
P000146,2024,3886
P000147,2020,2578
P000148,2019,67
P000149,2020,1581
P000150,2023,3575
P000151,2020,2733
P000152,2021,108
