Company_Name,ESG_Score,Risk_Category
GreenTech_00001_Ltd,88,Low
GreenTech_00002_Ltd,78,Medium
GreenTech_00003_Ltd,64,High
GreenTech_00004_Ltd,92,Low
GreenTech_00005_Ltd,57,High
GreenTech_00006_Ltd,70,Medium
GreenTech_00007_Ltd,88,Low
GreenTech_00008_Ltd,68,Medium
GreenTech_00009_Ltd,72,Medium
GreenTech_00010_Ltd,60,High
GreenTech_00011_Ltd,60,High
GreenTech_00012_Ltd,73,Medium
GreenTech_00013_Ltd,85,Low
GreenTech_00014_Ltd,89,Low
GreenTech_00015_Ltd,73,Medium
GreenTech_00016_Ltd,52,High
GreenTech_00017_Ltd,71,Medium
GreenTech_00018_Ltd,51,High
GreenTech_00019_Ltd,73,Medium
GreenTech_00020_Ltd,93,Low
GreenTech_00021_Ltd,79,Medium
GreenTech_00022_Ltd,87,Low
GreenTech_00023_Ltd,51,High
GreenTech_00024_Ltd,70,Medium
GreenTech_00025_Ltd,82,Low
GreenTech_00026_Ltd,61,High
GreenTech_00027_Ltd,71,Medium
GreenTech_00028_Ltd,93,Low
GreenTech_00029_Ltd,74,Medium
GreenTech_00030_Ltd,76,Medium
GreenTech_00031_Ltd,91,Low
GreenTech_00032_Ltd,77,Medium
GreenTech_00033_Ltd,65,High
GreenTech_00034_Ltd,64,High
GreenTech_00035_Ltd,93,Low
GreenTech_00036_Ltd,52,High
GreenTech_00037_Ltd,86,Low
GreenTech_00038_Ltd,56,High
GreenTech_00039_Ltd,70,Medium
GreenTech_00040_Ltd,58,High
GreenTech_00041_Ltd,88,Low
GreenTech_00042_Ltd,67,Medium
GreenTech_00043_Ltd,53,High
GreenTech_00044_Ltd,74,Medium
GreenTech_00045_Ltd,63,High
GreenTech_00046_Ltd,58,High
GreenTech_00047_Ltd,75,Medium
GreenTech_00048_Ltd,51,High
GreenTech_00049_Ltd,69,Medium
GreenTech_00050_Ltd,77,Medium
GreenTech_00051_Ltd,56,High
GreenTech_00052_Ltd,93,Low
GreenTech_00053_Ltd,57,High
GreenTech_00054_Ltd,84,Low
GreenTech_00055_Ltd,63,High
GreenTech_00056_Ltd,66,Medium
GreenTech_00057_Ltd,85,Low
GreenTech_00058_Ltd,89,Low
GreenTech_00059_Ltd,53,High
GreenTech_00060_Ltd,51,High
GreenTech_00061_Ltd,55,High
GreenTech_00062_Ltd,91,Low
GreenTech_00063_Ltd,53,High
GreenTech_00064_Ltd,78,Medium
GreenTech_00065_Ltd,67,Medium
GreenTech_00066_Ltd,75,Medium
GreenTech_00067_Ltd,93,Low
GreenTech_00068_Ltd,83,Low
GreenTech_00069_Ltd,59,High
GreenTech_00070_Ltd,85,Low
GreenTech_00071_Ltd,63,High
GreenTech_00072_Ltd,80,Medium
GreenTech_00073_Ltd,64,High
GreenTech_00074_Ltd,57,High
GreenTech_00075_Ltd,63,High
GreenTech_00076_Ltd,72,Medium
GreenTech_00077_Ltd,89,Low
GreenTech_00078_Ltd,70,Medium
GreenTech_00079_Ltd,65,High
GreenTech_00080_Ltd,94,Low
GreenTech_00081_Ltd,67,Medium
GreenTech_00082_Ltd,73,Medium
GreenTech_00083_Ltd,75,Medium
GreenTech_00084_Ltd,74,Medium
GreenTech_00085_Ltd,94,Low
GreenTech_00086_Ltd,90,Low
GreenTech_00087_Ltd,78,Medium
GreenTech_00088_Ltd,64,High
GreenTech_00089_Ltd,94,Low
GreenTech_00090_Ltd,50,High
GreenTech_00091_Ltd,74,Medium
GreenTech_00092_Ltd,56,High
GreenTech_00093_Ltd,58,High
GreenTech_00094_Ltd,73,Medium
GreenTech_00095_Ltd,50,High
GreenTech_00096_Ltd,93,Low
GreenTech_00097_Ltd,57,High
GreenTech_00098_Ltd,73,Medium
GreenTech_00099_Ltd,60,High
GreenTech_00100_Ltd,66,Medium
GreenTech_00101_Ltd,57,High
GreenTech_00102_Ltd,84,Low
GreenTech_00103_Ltd,84,Low
GreenTech_00104_Ltd,82,Low
GreenTech_00105_Ltd,54,High
GreenTech_00106_Ltd,91,Low
GreenTech_00107_Ltd,88,Low
GreenTech_00108_Ltd,90,Low
GreenTech_00109_Ltd,77,Medium
GreenTech_00110_Ltd,56,High
GreenTech_00111_Ltd,58,High
GreenTech_00112_Ltd,57,High
GreenTech_00113_Ltd,61,High
GreenTech_00114_Ltd,83,Low
GreenTech_00115_Ltd,82,Low
GreenTech_00116_Ltd,72,Medium
GreenTech_00117_Ltd,73,Medium
GreenTech_00118_Ltd,86,Low
GreenTech_00119_Ltd,84,Low
GreenTech_00120_Ltd,93,Low
GreenTech_00121_Ltd,89,Low
GreenTech_00122_Ltd,71,Medium
GreenTech_00123_Ltd,76,Medium
GreenTech_00124_Ltd,84,Low
GreenTech_00125_Ltd,50,High
GreenTech_00126_Ltd,84,Low
GreenTech_00127_Ltd,86,Low
GreenTech_00128_Ltd,63,High
GreenTech_00129_Ltd,52,High
GreenTech_00130_Ltd,50,High
GreenTech_00131_Ltd,54,High
GreenTech_00132_Ltd,75,Medium
GreenTech_00133_Ltd,63,High
GreenTech_00134_Ltd,88,Low
GreenTech_00135_Ltd,76,Medium
GreenTech_00136_Ltd,58,High
GreenTech_00137_Ltd,64,High
GreenTech_00138_Ltd,64,High
GreenTech_00139_Ltd,75,Medium
GreenTech_00140_Ltd,91,Low
GreenTech_00141_Ltd,62,High
GreenTech_00142_Ltd,81,Low
GreenTech_00143_Ltd,88,Low
GreenTech_00144_Ltd,81,Low
GreenTech_00145_Ltd,53,High
GreenTech_00146_Ltd,79,Medium
GreenTech_00147_Ltd,86,Low
GreenTech_00148_Ltd,72,Medium
GreenTech_00149_Ltd,88,Low
GreenTech_00150_Ltd,94,Low
GreenTech_00151_Ltd,64,High
GreenTech_00152_Ltd,92,Low
GreenTech_00153_Ltd,78,Medium
GreenTech_00154_Ltd,85,Low
GreenTech_00155_Ltd,62,High
GreenTech_00156_Ltd,81,Low
GreenTech_00157_Ltd,56,High
GreenTech_00158_Ltd,71,Medium
GreenTech_00159_Ltd,77,Medium
GreenTech_00160_Ltd,51,High
GreenTech_00161_Ltd,91,Low
GreenTech_00162_Ltd,94,Low
