Project_ID,ROI_Percentage
P000001,9.15
P000002,4.59
P000003,11.17
P000004,15.85
P000005,8.14
P000006,5.49
P000007,14.33
P000008,14.88
P000009,16.5
P000010,14.5
P000011,14.8
P000012,8.74
P000013,4.9
P000014,6.29
P000015,17.23
P000016,9.12
P000017,12.89
P000018,13.88
P000019,4.73
P000020,17.59
P000021,8.0
P000022,8.34
P000023,8.21
P000024,16.14
P000025,4.87
P000026,4.56
P000027,8.93
P000028,7.14
P000029,15.29
P000030,5.83
P000031,4.26
P000032,10.24
P000033,12.94
P000034,17.42
P000035,12.73
P000036,4.32
P000037,7.83
P000038,13.1
P000039,7.87
P000040,9.4
P000041,17.48
P000042,8.55
P000043,14.51
P000044,15.72
P000045,17.14
P000046,15.83
P000047,16.25
P000048,13.44
P000049,4.14
P000050,6.07
P000051,10.18
P000052,4.98
P000053,11.41
P000054,5.66
P000055,7.07
P000056,18.0
P000057,17.16
P000058,5.61
P000059,13.47
P000060,8.46
P000061,7.52
P000062,7.09
P000063,9.97
P000064,11.43
P000065,7.36
P000066,6.38
P000067,11.92
P000068,7.44
P000069,16.83
P000070,12.37
P000071,17.54
P000072,11.25
P000073,17.87
P000074,10.17
P000075,6.61
P000076,5.9
P000077,12.72
P000078,8.4
P000079,5.81
P000080,7.4
P000081,9.51
P000082,7.34
P000083,11.08
P000084,8.88
P000085,4.85
P000086,13.99
P000087,4.37
P000088,17.21
P000089,6.22
P000090,7.77
P000091,17.74
P000092,8.06
P000093,15.91
P000094,6.16
P000095,15.78
P000096,8.64
P000097,6.34
P000098,9.47
P000099,7.78
P000100,12.68
P000101,15.1
P000102,7.64
P000103,10.38
P000104,12.55
P000105,9.1
P000106,6.6
P000107,10.62
P000108,14.05
P000109,9.1
P000110,12.39
P000111,15.42
P000112,5.62
P000113,14.32
P000114,17.82
P000115,17.95
P000116,11.4
P000117,16.02
P000118,16.95
P000119,6.0
P000120,14.4
P000121,9.45
P000122,5.78
P000123,17.09
P000124,14.17
P000125,12.92
P000126,8.64
P000127,10.24
P000128,16.08
P000129,10.73
P000130,12.04
P000131,12.4
P000132,6.36
P000133,12.46
P000134,12.84
P000135,14.41
P000136,6.31
P000137,16.34
P000138,15.84
P000139,10.86
P000140,7.11
P000141,8.83
P000142,6.93
P000143,16.23
P000144,17.46
P000145,14.82
P000146,11.77
P000147,9.69
P000148,5.68
P000149,9.8
P000150,8.45
P000151,17.77
P000152,12.28
P000153,17.74
P000154,4.31
P000155,14.35
P000156,15.9
P000157,4.36
P000158,7.23
P000159,5.71
P000160,15.03
P000161,17.93
P000162,9.88
P000163,8.08
P000164,6.03
P000165,16.71
P000166,7.46
P000167,14.33
P000168,8.57
P000169,15.01
P000170,12.1
P000171,17.88
P000172,16.18
P000173,6.29
P000174,9.26
P000175,9.86
P000176,9.9
P000177,10.66
P000178,14.18
P000179,5.93
P000180,6.92
P000181,7.34
P000182,4.11
P000183,5.76
P000184,7.1
P000185,8.4
P000186,11.72
P000187,7.44
P000188,15.6
P000189,14.49
P000190,4.6
P000191,11.07
P000192,8.8
P000193,6.91
P000194,15.42
P000195,10.87
P000196,17.63
P000197,8.25
P000198,17.89
P000199,14.95
P000200,16.96
